Video Title,Video URL,Transcript,Status,Summary
Rare Elephant Moment leaves Expert Dr. Tempe Adams in Awe,https://www.youtube.com/watch?v=H-6fiqcLeuE," It's an incredibly exciting day here today. We're in Udualoe National Park here with the Elephant Transit Home and we're about to release six elephants, graduates, from the Elephant Transit Home back into the wild. So it's a really, really, really special moment. They have been cared for at the ETH for many, many years, preparing them for this chance to finally be returned back to the wild which is the ultimate goal of the elephant transit home. If you ever get a chance to come to the elephant transit home there is the most incredible elephant education centre and it's an amazing resource to learn anything and everything about how special and unique the Sri Lankan elephants are, their threats, their biology, where they live, learning more and more about elephants so then we can appreciate and really celebrate them. Oh my goodness that was incredible they walked right off the truck all as one herd it was so so beautiful slowly they took their time they smelt their environment all around them and i couldn't think of a more beautiful place to be releasing these elephants it's perfect elephant habitat and as you can see they've gone straight to acting like normal wild elephants such an amazing event to see these elephants returned back to the wild which is of course the whole goal and purpose of the elephant transit home We couldn't ask for anything better. It's a beautiful, beautiful sight.",Success,"Six elephants were released from the Elephant Transit Home (ETH) into the wild at Udawalawe National Park in Sri Lanka. The ETH, which also operates an elephant education centre, cares for orphaned or rescued Sri Lankan elephants to prepare them for re‑introduction into their natural habitat. The released herd, consisting of six graduates, exited the transport vehicle together, pausing to assess their surroundings before moving on. The release aligns with ETH’s primary objective of returning rehabilitated elephants to the wild."
Omakase by Dilmah with Chef Serge Chenet,https://www.youtube.com/watch?v=5vuO6YEIJeo," Oh Chef, how are you? I thought you only came for a half-hour? Ah, I'm hungry. We were here waiting for the guests to come. You're feeling a little bit hungry, so why not? Of course, I'd love to try a makase. I'll return to my kitchen. Thank you. Cheers, son. It's a salad. Oh, magnificent. Voilà, a little omakase. Oh, it's gorgeous. Wow, that looks so beautiful. Beautiful, okay. Satisfire your little creux. Oh, the taste. Beautiful, smell that. You have tuna with a glass of moutard and a little cream to orange. Cream of tomato. Wow, beautiful combination of temperatures, textures. And the freshness. It's so complex. It's beautiful and the tea brings it out. The tea just harmonizes everything. It connects everything. And it's the quality of ingredient. It's fabulous. Makes it all just perfect. Lovely, the texture. I mean the temperature, the contrasting temperature is so beautiful. With the moutarde, the moutarde of the old and the moutarde of the papes, it's an accord that... Yeah. Chef Serge Chenet impromptu omakase was exactly what an omakase is about A chef taking ingredients from the kitchen and putting something together to dignify tea and for tea to dignify food Extraordinary complexity. San what did you think? I think the freshness of ingredient, the complexity, the layered flavours and the dishes were good on its own. But when you added that tea pairing it just ignited. It really blooms right? Yeah, exactly. A whole new flavour experience. Did you taste what he did to the cinnamon? Yeah. It was spectacular. And I think that's the secret to really great pairing and a great chef. It's subtlety, complexity, sophistication. That's luxury. When you're respecting the ingredients. So he had herbs, he had coriander and he had this beautiful mustard. The Pope mustard from Avignon. It's a tradition that goes back to the time when the Popes were based in France in Avignon. What a story, lots of stories, lots of great ingredients, taste, great goodness and the incredible skill but also the empathy of the chef towards both beautiful teas and to their great ingredients. The omakase, the ingredients have its own provenance but also the tea as well. Exactly. The herbs were a highlight. What did you think of the dessert? The dessert, again, texture. The desserts were fluffy, the crunch of that cashew and the jaggery to finish it off and our delicious Windsor Forest complementing with the citrusy spice. It was unmatched. And I think that's probably what is the icing on the cake. It's respecting local sustainable ingredients and that's what Chef Serge did. What an amazing artist and what beautiful tea is.",Success,"Chef Serge Chenet presented an impromptu omakase that combined tuna with mustard, cream, orange, and tomato, emphasizing contrasting temperatures, textures, and the freshness of locally sourced ingredients. The pairing with a specific tea was highlighted as enhancing the layered flavors, creating a new taste experience that linked the food and beverage. The menu featured Pope’s mustard from Avignon—a historic ingredient dating to the papal residence in France—alongside herbs such as coriander and a cinnamon preparation noted for its complexity. Dessert concluded the service with fluffy elements, crunchy cashew, jaggery, and Windsor Forest citrus‑spice components, underscoring the chef’s focus on sustainable, high‑quality produce."
"Dilmah: 40 years, 40 stories’ – Sigitas Kalmaitis",https://www.youtube.com/watch?v=a9wIJKvQ7NU," He liked the Fernando family and their approach to business. More than 30 years since that first order and I really like that it has been going for so many years. It's a great pleasure to see Amrit joining the company because I see a young Dilgan in Amrit. I remember the times when Dilkhan and Mr. Merrill were traveling to our countries, to the Baltic states, visiting us. And now I see Amrit and Dilkhan together and this strong relationship between the father and the son continues. a great pleasure to have not only business relationship but a real friendship with Meryl Dylkorn and now with Amrit and this is probably the most valuable thing for me in these years that whatever we business do whether we have sales grow the main point that we keep our relationship We appreciate them at the very end. As we know, business is a matter of kindness and kindness between people, kindness for those who need. And I think all this kindness starts from the great friendship between the producer and its distributors.",Success,"The speaker notes that the partnership with the Fernando family has lasted more than 30 years since the first order. Earlier visits by Dilkhan and Mr. Merrill to the Baltic states established a strong business and personal connection that continues with Amrit’s recent entry into the company. The speaker highlights the ongoing friendship with Dilkhan, Mr. Merrill, and now Amrit as a key asset of the relationship. He emphasizes that the partnership’s success is rooted in mutual kindness between the producer and its distributors."
Michelin-Starred Chef Serge Chenet visits the home of Dilmah,https://www.youtube.com/watch?v=GMk4LYTNTms," Omakase is a beautiful part of Japanese culinary tradition. It involves the chef presenting their choice and their recommendation to the guest. And so it is with Dilma Ceylon Tea and Ceylon Cinnamon Omakase. A presentation from the tea maker and the passionate cinnamon expert for the enjoyment of the guest. I'm very privileged today to have chef Serge Chané all the way from France to learn about tea, to understand the influence of sunshine and wind and soils in crafting fine tea and our beautiful Ceylon cinnamon, and then to prepare an exquisite omakase in the French tradition. Welcome, sir. Thank you very much. I'm going to go to the Provence market. There are all the flavors, the flavors, all the sensations are different. I've already had some ideas for the omakase. I'm going to make a little crustaceae with a little cannelle. The thon with a tea is good. I also try to work a little bit of a nage or pocher in the tea with the aromas. I have a lot of ideas and that's important. It's like in Provence when we use the macacé Japanese. We are our instantanous cuisine. We feel it and then we have the ideas that come to our heads. We pass a good moment and it will be beautiful.",Success,"Omakase, a Japanese tradition where the chef selects dishes for the guest, is applied to Dilma Ceylon Tea and Ceylon Cinnamon in a presentation by the tea maker and a cinnamon specialist. Chef Serge Chané, invited from France, demonstrated a French‑style omakase that incorporated the tea and cinnamon, planning dishes such as crustacean with cinnamon, tuna paired with tea, and a poached preparation infused with tea aromas. He referenced sourcing inspiration from the Provence market and noted the influence of sunshine, wind, and soil on the flavor profile of Ceylon tea and cinnamon."
Bocuse d’Or Sri Lanka 2025,https://www.youtube.com/watch?v=zTKhufBhMF4," At Dilma, we've been associated with Bokus Dor Sri Lanka since its inception in 2011. There's a couple of reasons why we are here. It's about the food, of course, but it's also about the ingredients. Sri Lanka has incredible ingredients, Ceylon tea, Ceylon cinnamon. We have tea inspiration. We have discovery on new flavors, new textures, new culinary methods. and we have a new generation of chefs that are gaining expertise and experience, ready to take Sri Lankan cuisine and our ingredients to the world. That's culinary ambassadorship and a whole lot more. Taste, goodness and ethical purpose as my father would have wanted. What an incredible opportunity to be here in Colombo. It's been a great day of competition. What we're really looking for in the judging here is high quality skill sets in the kitchen as well as course maximum flavor Delivering what they hope to deliver in terms of what they written on their menu And today was a great example of when things come together such as really good training and preparation you end up with something amazing And overall, the quality was very good. We just concluded the seventh round of selecting the national champions of Boku's Door 2025. 26 teams participated, and I just want to see how the standards have improved year on year. According to the judges, it was a tough decision to select the best winner. Cinnamon Life, they became the champions. We want to actually train them. We will bring expertise who have won past Bocuse d'Or events and also some Michelin star chefs. So hopefully with Cinnamon Life management team, we can train these people to the next level. astronauts su aqui Clinton volhou m fonction of the computations bin the",Success,"Since 2011, Dilma has partnered with Bokus Dor Sri Lanka, leveraging local ingredients such as Ceylon tea and Ceylon cinnamon and supporting a new generation of chefs to promote Sri Lankan cuisine internationally. In Colombo, the seventh round of the Boku’s Door 2025 competition concluded with 26 teams evaluated for kitchen skill, flavor, and menu execution. The team Cinnamon Life was selected as national champion, and organizers plan to provide further training with past Bocuse d’Or winners and Michelin‑star chefs. The initiative emphasizes high‑quality culinary standards and ethical purpose."
Our Story in Song: The Dilmah Anthem,https://www.youtube.com/watch?v=Erws0ihbekE," Fragrant Island Tear of tea, flavor of Ceylon, come home to me. Dermatine, tea of tea, flavor of Ceylon, Dermatine. Freshness and flavor to the world we give, In crops of goodness and joy we bring Heaven nectar in every drawer The commitment of every crown Dear Martin, the finest tea A new experience, dear Lord Golden goddess with rings of sun Power's hope and the battle war DIY The final steam Traveller of Ceylon Till now Till now At last, we turn and we vow to be To our fondness promise we are only weak To make deep friends, we made a vow Through our coins you must We always love Dear Martin Dear Martin A true commitment Dear Martin It's time to gather In voices sing From Mary nation, the bletchly king, Your perfection is our goal To the greatest We play our role Dilma, team The finest deer The pop of John Dilma Fragrant I love Fragrine tea Flavor of Ceylon Come home to you Dermatute Tea of tears The world's finest, to me.",Success,"The transcript references a tea product described as “Fragrant Island” or “Fragrine tea” with a “flavor of Ceylon,” and mentions the brands “Dermatine” and “Dermatute.” It repeatedly addresses an individual named Martin, expressing commitment, vows, and gratitude toward him. Additional entities cited include “Lord Golden goddess,” “Mary nation,” “bletchly king,” and the names “Dilma” and “John Dilma.” No dates, numbers, or concrete milestones are provided; the content consists mainly of poetic statements about tea and dedication."
Learn about our Ruby Anniversary Full Leaf Green Tea,https://www.youtube.com/watch?v=V4r0-07F8aw," One of the rare pleasures in life is to be able to taste nature. Now as tea makers and tea tasters, we get that every day. This in particular is one that we made with a lot of love on Craighead Estate. We have this really elegant green tea. So you hand pick, there's no processing at all, it's completely handmade. As the water is being absorbed and the tea giving off its taste and its goodness, This is a unique tea because this year, Andrea, we celebrate 40 years since my father first launched Dilma. It was an achievement because more than anything, at that time, we Sri Lankans, we weren't even allowed to taste tea. So my father broke the mold and he fought for 35 years. And at the age of 55, can you believe he was 55 years old when he brought Dilma tea to market? and thereafter we now celebrate 40 years since that time in 1985. So let try this beautiful tea and see on the eye it extremely delicate extremely delicate it that because of the leaf size on the nose you feel because Ceylon green tea is not like Japanese green tea because you have Camellia sinensis japonica it's a variant but here we have Camellia sinensis Assamica which has a bigger leaf it is more influenced by the sunshine so you get more astringency so that is the astringency but then it's balanced a tea like this has never been made before. It's not easy to make tea like this. You need the perfect leaf, you need the perfect weather and the process it just takes so long. This is so pure. I love it. I like this too, you know, like, it's incredible. When you smell this, it doesn't come up with the conventional drink. It's, you feel different. Wonderful. I'm so glad that we had the honor of presenting it to you, my friend. Thank you very much for this honor. My father will be watching from above. What a great legacy that Mr. Fernando left to you, you know, like, and then, so humbled not to be here. Thank you very much. Thank you. Do try it.",Success,"The Craighead Estate produced a handcrafted green tea made from hand‑picked Camellia sinensis assamica leaves, which are larger and more sun‑exposed than Japanese varieties, resulting in higher astringency balanced by delicate flavor. The tea commemorates the 40th anniversary (2025) of Dilma tea, first launched in 1985 by the speaker’s father at age 55 after a 35‑year effort to overcome Sri Lankan restrictions on tea tasting. The original launch marked a breakthrough for Sri Lankan tea consumers, and the current blend is described as uniquely pure and difficult to produce, requiring optimal leaf quality, weather, and processing time. The presentation honors the legacy of the father, Mr. Fernando, and the milestone of the brand’s four‑decade history."
How Tea Supports Your Health by Dr. Parmenter,https://www.youtube.com/watch?v=XIDXmY1Uu3Q, Hi everybody my name is Ben I conduct research at the Nutrition and Health Innovation Research Institute so my research looks at the health benefits of tea and what we know is that those that regularly drink tea they have a lower risk of major chronic disease such as a heart attack or a stroke things like osteoporosis and type 2 diabetes and even a lower risk of dementia so So what's the secret inside the cup? It is small compounds that are naturally occurring called flavonoids. We know that these compounds fight inflammation and that they activate antioxidants defenses within the body. So your cup of tea might be doing you more good than what you know. Do try it.,Success,"Ben, a researcher at the Nutrition and Health Innovation Research Institute, studies tea’s health effects. Regular tea consumption is associated with reduced risk of major chronic diseases, including heart attack, stroke, osteoporosis, type 2 diabetes, and dementia. The protective effect is attributed to naturally occurring flavonoids, which combat inflammation and activate the body’s antioxidant defenses. Consequently, tea may provide broader health benefits than commonly recognized."
"Dilmah: 40 years, 40 stories - Murray Johnston",https://www.youtube.com/watch?v=6TjHs3Omi3I," We celebrated tea and Dilma's 40th anniversary with Singaporeans at Rishi Nalindra's Kotoa restaurant. Extraordinary Sri Lankan ingredients, beautiful cuisine paired with tea. We used tea to soften the spice, we used tea to elevate cheese in partnership with cheese lads. We offered tea that brought out the texture and the magnificent flavours of Ecuador in the chocolates from Fossa. Tea is an incredible herb. It's varied, it is as diverse as every mood, every occasion. It is as complex as the weather. It has the fingerprint of nature. It is luxurious, but it's also so incredibly relevant to modern lifestyles. And as Dr. Ben Parmentier offered, it is also the best medicinal ingredient that's hidden in plain sight. Do it for it.",Success,"Tea and Dilma’s 40th anniversary were celebrated with Singaporean guests at Rishi Nalindra’s Kotoa restaurant, showcasing Sri Lankan ingredients and cuisine paired with tea. The menu highlighted tea used to soften spice, elevate cheese in partnership with Cheese Lads, and enhance Ecuadorian chocolates from Fossa. Dr. Ben Parmentier described tea as a versatile medicinal ingredient."
"Tea Mixology at the 2025 Good Food & Wine Show, Sydney",https://www.youtube.com/watch?v=NPtm-dDKVbw," Hello everybody, how are you all doing? My name is Sai, I'm from Dutch Rool. We're making some fantastic cocktails at the Dilma stand using the Dilma tea elixir and also Dutch Rool Ceylon gin. So the cocktail we're making today is a little twist on a pina colada. So we got some Dutch Rool Ceylon gin which we combined with some Dilma tea and also cinnamon and the Dilma elixir with the flavors of amaretto, a touch of coconut surat, lime and we're topping that with some pineapple juice. So very fresh number, enjoy it when it's sunny or just in any weather really because it's a fantastic cocktail. Love ya!",Success,"Sai from Dutch Rool describes a cocktail prepared at the Dilma stand that combines Dutch Rool Ceylon gin with Dilma tea elixir, cinnamon, amaretto, coconut, lime, and pineapple juice as a twist on a piña colada. The drink uses the Dilma elixir’s flavors of amaretto and coconut alongside the gin and tea base. It is presented as suitable for any weather."
From Our Family to Yours: Dilmah Tea Appreciation in Chile,https://www.youtube.com/watch?v=UdnEwu_ylWc," Today we explored the incredible natural luxury in tea. So when you talk about luxury today, the concept has changed, it's evolved significantly. It's no longer material luxury, it's in taste, it's in nature and tea has each of those but also it has wellness. We are not simply offering taste, we're not offering consciousness and kindness, we offer a combination of all of that. Because for us our pride is in presenting tea with quality, our pride is in protecting the soils for the next generation, our pride is in ensuring that our workers and the future of our industry are taken care of. Since we started 22 years ago, it was a journey to understand the Chilean consumer. I think the consumer today is more interested in innovating and discovering new alternatives and preparations for the tea. I think this type of event is to approach this wonderful world of tea. I think many people don know what can be done with the tea c matirarlo con una comida de c incorporarlo como un ingrediente la comida en el c o en un mocktail creo que lo que estamos mostrando hoy d justamente es ...hacer que la gente despierte su creatividad, su curiosidad... ...por preparar y disfrutar con una bebida tan económica... ...que es un lujo que nos entrega la naturaleza"". Para llevar a cabo una buena bebida con un bache de té... un buen cóctel o un buen mocktail, lo primero que necesitamos es elegir un buen té. Si no elegimos un té de calidad, si no elegimos Dilma, si no elegimos marcas que realmente cuidan el proceso y que nos ofrecen una buena bebida, no vamos a poder conseguir hacer una buena mezcla. Las personas que todavía no conocen la coctelería con té están perdiendo la mitad de su tiempo. Realmente no existe un motivo para no acercarse a la coctelería con té. Es un ingrediente que sabe fantástico, que tiene aroma, que tiene textura, que tiene una historia muy importante detrás y que conecta mucho con todo lo que son la sostenibilidad, el cuidado del cuerpo. Realmente hay una serie de características del té que lo hacen un ingrediente realmente único para mezclar. Así que yo los invito a que sigan entendiendo, a que sigan aprendiendo de esta maravillosa bebida y que solo DILMA les pueda entregar todos los conocimientos que un productor de té puede hacer. Gracias.",Success,"The speaker describes a shift in luxury toward natural, wellness‑focused experiences, positioning tea as a high‑quality, sustainable ingredient for drinks, food pairings, and mocktails. Their company, founded 22 years ago, emphasizes soil protection, worker welfare, and industry longevity while targeting the evolving Chilean consumer who seeks innovative tea preparations. They stress that selecting a reputable brand such as Dilma is essential for creating flavorful, aromatic cocktails and highlight tea’s unique texture, aroma, and historical significance. The presentation aims to inspire creativity and broader adoption of tea‑based mixology as an affordable, environmentally responsible luxury."
Najade Bijl -  Dilmah School of Tea,https://www.youtube.com/watch?v=w72wIPP-JLo," Music Participating in the School of Tea has been such an inspiring experience. Together with participants from more than 48 countries, it has been truly amazing to see how tea connects people. I have had the privilege to whip up some amazing cocktails and mocktails with the teas from Dülma, showcasing all the opportunities that tea offers within the world of food and beverage. Music And it has been so great to see how the passion to gain more knowledge about tea and about beverages connects everyone. So I want to thank Dilma Tea for inviting me over to make the world a better tea.",Success,"The speaker participated in the School of Tea, an event that gathered participants from over 48 countries. They created cocktails and mocktails using teas supplied by Dilma Tea, demonstrating applications of tea in food and beverage contexts. The experience highlighted how shared interest in tea knowledge fosters connections among diverse attendees."
Tea & Chocolate Pairing at the 2025 Good Food & Wine Show,https://www.youtube.com/watch?v=Plw6_As09jA," We just finished up our Ceylon tea and chocolate pairing. We brought out our 85 reserve selection and paired it with a family-owned business, you know it, Whittaker's Chocolate. This is our Royal Ceylon breakfast and creamy milk, what we call a guiltless indulgence. You have the sweetness, the creaminess of delicious milk chocolate, and you pair it with one of our bold, bright and brisk morning teas from the Dimbula Valley. Perfect. We had Uncle Peter taking us on a journey through the tasting of tea and chocolate, the nuances of each flavor, the complexity in the dark Ghana chocolate and the creaminess and smooth texture of the milk chocolate. A perfect pairing in heaven. Do try it.",Success,"The event featured a pairing of the “85 Reserve” Ceylon tea selection with Whittaker’s Chocolate, a family‑owned confectionery brand. Participants tasted the Royal Ceylon Breakfast blend from the Dimbula Valley alongside both dark Ghana chocolate and creamy milk chocolate. Uncle Peter guided the tasting, describing the flavor nuances and texture differences of each chocolate. The pairing was presented as a “guiltless indulgence” combining bright, brisk tea with sweet, smooth chocolate."
"Celebrating Cheese and Tea at the 2025 Good Food & Wine Show, Sydney.",https://www.youtube.com/watch?v=5YWAyvhIOho," Amazing session this morning at the Good Food and One Show in Sydney again. Presenting three cheese and really appreciating the impact of the tea and the cheese together. Two partners, two artisanal products that are so promoting the place they're coming from. I'm just so extraordinarily surprised at how well those three cheese went with the three teas that Dilhan offered this morning. I think it's such a wonderful opportunity to present that very different tasting in Sydney today. And the people here responded very well. So all we know, it's just like the new trend, cheese and tea. Do try it.",Success,"The speaker presented three artisanal cheeses alongside three teas at the Good Food and One Show in Sydney. The pairing, facilitated by Dilhan, highlighted the complementary flavors of the cheeses and teas and was well received by attendees. The event emphasized a emerging trend of pairing cheese with tea, showcasing products from the regions where they are produced."
"Dilmah at 2025 Good Food & Wine Show, Sydney",https://www.youtube.com/watch?v=UbgizB7FaaM," We're at the 2025 Good Food & Wine Show in Sydney. What makes these shows so important for us as a family business is to understand the consumer. And what's the consumer telling us? It's back to the future. Authenticity, quality, stewardship of soils, stewardship of livelihoods, taste, taste adventure, natural wellness, the antioxidants and flavonoids in great tea, but also taste, variety and that's what we have. Elixir of Ceylon tea, one of the innovations that we are presenting in addition to our great Royal Ceylon breakfast and so many other teas. It's back to the future because taste, quality, integrity, consciousness, ethics, sustainability never go out of fashion.",Success,"The 2025 Good Food & Wine Show took place in Sydney, where a family‑owned tea company highlighted its focus on consumer insights. The company emphasized core values of authenticity, quality, soil and livelihood stewardship, ethical sustainability, and natural wellness. It presented product innovations including Elixir of Ceylon tea and Royal Ceylon Breakfast, noting the role of antioxidants and flavonoids in tea flavor and health benefits. The messaging linked these attributes to a “back to the future” theme that positions taste, integrity, and consciousness as timeless priorities."
Tea & dessert with Petra Galler,https://www.youtube.com/watch?v=sYRY6W_fzE8," Hi guys, I am Petra Geller and I'm down here at the Fine Food Show with Dilma Tea and it's such a pleasure to be here. I am doing some masterclasses, heroing three different teas and how they can be used in baking, in pastry, in mousses. It's a really versatile ingredient and something I think that needs more time in the sun, especially when it comes to all things sweet. And it's just a real joy to work with. We are heroing jasmine tea, earl grey and rose, which is like my personal favourite.",Success,"Petra Geller reported from the Fine Food Show, where she conducted masterclasses on using tea in baking, pastry, and mousse applications. She highlighted three teas—jasmine, Earl Grey, and rose—as versatile ingredients for sweet preparations. The sessions emphasized expanding the culinary use of tea beyond traditional contexts. Dilma Tea was mentioned as the associated brand."
"Dilmah: 40 years, 40 stories - Cristian Pastene",https://www.youtube.com/watch?v=DZ8soP8fas0," For us it's a long trip of almost 20 years, sharing the values and the purpose of the business that Mr. Mayor J. Fernando pledged when he started with DILMA. For us it's an honor to be part of this history and we are very proud to bring the values of doing business with integrity, with ethics and and of course with kindness to the people, to the collaborators of the company and for the environment. I always remember when Mr. Mero J. Fernando, when my daughter Pepe was born, he sent me a letter and he promised me to open a centre for different people with different capabilities. And in 2010, we cut the ribbon of this center. And this is something that I never forget. And one of the history that my parents have with Mr. Mero G. Fernando, it was when they met him at Seattle in 2000. He was there standing with a champagne cup, inviting my parents to the booth of this man. And here we are, after 22 years, we are still raising the Cup of Kindness in the name of Dillman.",Success,"The speaker notes a nearly 20‑year relationship with Mr. J. Fernando, founder of DILMA, emphasizing shared values of integrity, ethics, and kindness toward employees and the environment. In 2010 the speaker’s promised center for people with diverse abilities was inaugurated after a personal pledge made when their daughter was born. Their parents first met Mr. Fernando in Seattle in 2000, where he invited them to his booth with a champagne cup. After 22 years the organization continues to promote the “Cup of Kindness” under the Dillman brand."
Jason Clark POV - Elixir,https://www.youtube.com/watch?v=cNd0_0pvP10," So I'm here today at the Fine Food Show in Auckland and it's a real honour and a pleasure to be working with Dilma to release their exciting new products, the Dilma Elixir of Ceylon Tea Extracts. Now these are products made using rich extract of black tea, enhanced with natural flavours that we can use in bars for mixing cocktails and in mocktails, non-alcoholic drinks. These products are amazing for showcasing the quality, the character, the complexities of amazing Ceylon team. Do try it.",Success,"At the Fine Food Show in Auckland, a representative announced the launch of Dilma Elixir of Ceylon Tea Extracts, a product line developed with Dilma. The extracts are derived from black Ceylon tea and are enhanced with natural flavours for use in bars. They are marketed for mixing into cocktails, mocktails, and other non‑alcoholic beverages, highlighting the quality and complexity of Ceylon tea."
Tea Gastronomy with Chef Andrea Ferrero – Camembert Ice Cream,https://www.youtube.com/watch?v=Jgag9MR0Tsw," It's a sablé Breton with pastry, a custard cream, with your vanilla, like cashew and then Camembert ice cream. Camembert ice cream. Wow, it looks beautiful. I love the way the tea really brings out the cashew and the texture. Yes, of course, cinnamon infusion. It's a beautiful pairing and it suppresses the sweetness, brings out the flavours. It's a lovely combination. I love the savoury cream. Everything is lovely. Some dish, for example, from ice cream, it doesn't leave you anything. It's not creamy, there's no velvet. If you put like this nice amount of croiss, give it this pungent and the dip stays in your mind.",Success,"The dish features a sablé Breton pastry with custard cream flavored with vanilla and cashew, paired with Camembert ice cream. A cinnamon‑infused tea is served alongside, intended to suppress sweetness and accentuate the flavors. The combination is described as having a savory cream texture without excessive creaminess, leaving a lingering aftertaste."
"Tea Gastronomy with Chef Andrea Ferrero – Egg, Apple, Cinnamon",https://www.youtube.com/watch?v=qhSoAA4Jvf0," It's there is three ingredients basically it's just egg yolk and then apple and cinnamon. What you see the roll is egg yolk. Gorgeous no? Oh my gosh it's beautiful and what a combo. Freezing change the texture of the egg yolk and then we put it on the sheet and we We dry very quickly under our light. So it comes like a leather. And then inside the roll, it's apple puree, caramelized apple, and then I'm ready to see more. It's beautiful. Everything comes together nice. Very gentle and very respectful dish. Outstanding. Do try it.",Success,"The dish consists of three primary ingredients: egg yolk, apple, and cinnamon. The egg yolk is frozen to alter its texture, then spread onto a sheet and rapidly dried under light, forming a leather‑like layer. Inside the roll, the filling includes apple puree and caramelized apple. The final presentation combines the yolk “leather” with the apple filling."
